,beta0,beta1,beta2,beta3,tau1,tau2
2022-01-27,0.0033724503179404504,-0.0018784129762776508,-1.988720222769357,1.9686522479526503,2.541453802834063,9.849708467748004
2022-01-28,-0.021241591980281076,0.041856264071886494,-2.041582243637937,1.9637913062118706,2.397144658323657,9.891887068332187
2022-01-31,-0.04315486138023093,0.13478957769686473,-2.0392047409792675,2.024360956507659,2.2083894705722735,10.78357929057804
2022-02-01,-0.008860622103533515,0.11408684079925024,-2.0522065218612413,1.9352365850562219,2.28635143706137,10.34816996567533
2022-02-02,-0.049211862265668975,0.13343069364592755,-1.9551833380833599,1.8697999306590112,2.226477662946301,10.666516237021872
2022-02-03,-0.019997561773629734,0.037514005229803665,-1.817809640382731,1.8417794356651704,2.15849974581444,11.140825693233698
2022-02-04,-0.09221875251693944,0.09628682979263375,-1.675211502159695,1.9926600607284097,2.1667365929633764,11.474843559676238
2022-02-07,-0.025403852213180814,0.022150420452040062,-1.910050929416131,2.009698057150008,2.4351670449310023,9.825639705310849
2022-02-08,0.019329457397546657,-0.03203397102694538,-2.1850599117819183,2.1196572965021034,2.7594140744748437,8.717361530402073
2022-02-09,-0.011847761843317341,-0.008639998562703626,-2.1987388117055024,2.0486091321909656,2.5861287933593102,8.896590037037821
2022-02-10,0.043825097545643746,-0.18672436448236604,-3.318947903523961,3.1193806841904745,3.363763201873694,6.659325704251046
2022-02-11,0.12056233337909676,-0.29700278201910174,-8.28202180605621,7.888720598322494,3.8286803232054023,4.978214746498916
2022-02-14,0.12556134107895567,-0.32449074975834585,-9.99999861604765,9.584854784621303,3.879911892852216,4.817343821967989
2022-02-15,0.07577422988904631,-0.24550693388648698,-9.999999999999998,9.715916011076722,3.9972431085806823,4.985319242233555
2022-02-16,0.09792926090639965,-0.28533714929287896,-9.999999999999986,9.775680647992425,4.01972834608288,4.992337591361076
2022-02-17,0.10169654313983943,-0.3109083374733725,-9.999999999999998,9.799920889183031,4.040886835136042,5.045671632456905
2022-02-18,0.09594716362356348,-0.2943803598755983,-9.999999999999948,9.84889590716182,4.114596291161571,5.111500991949638
2022-02-21,0.0819102803678279,-0.30671274681762867,-9.999999999666992,9.784738424761594,4.097487678941155,5.098366432280749
2022-02-22,0.07754301569386515,-0.2660406652882933,-9.999999999999998,9.711692141987964,4.087981354007996,5.050365552828007
